NOM THEN NIOB RECEIVED SENT
2 3550 2749 224 346
3 5257 3424 336 519
4 6997 3514 448 692
5 8902 3414 560 865
6 10551 3367 672 1038
7 12251 3381 784 1211
8 13969 3383 896 1384
9 15863 3390 1008 1557
10 17514 3400 1120 1730
11 14416 3513 1232 1903
12 20930 3459 1344 2076
13 23620 3533 1456 2249
14 24493 3583 1568 2422
15 26341 3646 1680 2595
16 27939 3663 1792 2768
17 29785 3678 1904 2941
18 31523 3743 2016 3114
19 33311 4429 2128 3287
20 35086 4088 2240 3460
21 36699 4118 2352 3633
22 38407 3936 2464 3806
23 40313 4046 2576 3979
24 42864 3588 2688 4152
25 44384 4104 2800 4325
26 48369 4215 2912 4498
27 50291 3903 3024 4671
28 51809 4364 3136 4844
29 52943 4203 3248 5017
30 54990 4200 3360 5190
31 56842 4442 3472 5363
32 58831 4590 3584 5536
33 60570 5871 3696 5709
34 62269 5852 3808 5882
35 ?0 6150 3920 6055
36 ?0 5980 4032 6228
37 ?0 6236 4144 6401
38 ?0 6048 4256 6574
39 ?0 6088 4368 6747
40 ?0 5978 4480 6920
41 ?0 6159 4592 7093
42 ?0 6210 4704 7266
43 ?0 6103 4816 7439
44 ?0 6153 4928 7612
